iter	RMSE
0	0.05500006624
1	0.05317947438
2	0.05157450001
3	0.0500824879
4	0.04880842372
5	0.04765312933
6	0.04654891217
7	0.0455949942
8	0.04469694518
9	0.04388122868
10	0.04316289937
11	0.04251190535
12	0.04187354508
13	0.04130616725
14	0.04074143962
15	0.04020715934
16	0.03974355579
17	0.03928886728
18	0.03888858387
19	0.03850932325
20	0.03818408719
21	0.03784297368
22	0.03751653019
23	0.03722618406
24	0.03698499357
25	0.03672421513
26	0.03646367426
27	0.0362227217
28	0.03601392401
29	0.0358177002
30	0.03559590676
31	0.03539300184
32	0.03522627802
33	0.03507639485
34	0.03496704735
35	0.0348329648
36	0.03472609172
37	0.03460355355
38	0.0345303371
39	0.03437900006
40	0.03421316853
41	0.03414999294
42	0.03409947915
43	0.0339514437
44	0.03388628521
45	0.03384174525
46	0.03383099301
47	0.03370043257
48	0.03359408878
49	0.03346215844
50	0.03344790102
51	0.03341342885
52	0.03331186722
53	0.03325625676
54	0.03323895147
55	0.03318737063
56	0.0330664973
57	0.03299003782
58	0.03296428319
59	0.0329544386
60	0.03289086187
61	0.03281838398
62	0.03276927885
63	0.03274528948
64	0.03263872604
65	0.03262894561
66	0.03260961141
67	0.03260376239
68	0.03256066907
69	0.03253681957
70	0.03251758753
71	0.03244212439
72	0.03239056379
73	0.03233635505
74	0.03233133854
75	0.03231396893
76	0.03222141852
77	0.03213947086
78	0.0321346189
79	0.03212380279
80	0.032118147
81	0.0321138255
82	0.03209563034
83	0.0320800842
84	0.03207642645
85	0.03201724625
86	0.03200239907
87	0.03199479125
88	0.03193578033
89	0.03191917798
90	0.03191513016
91	0.0319114796
92	0.03190476101
93	0.03189095343
94	0.0318804494
95	0.03186420757
96	0.03186056039
97	0.03185040538
98	0.03181374534
99	0.03176040421
100	0.03175161946
101	0.03174013812
102	0.03173693015
103	0.031727607
104	0.03171209788
105	0.03170181721
106	0.03169081102
107	0.03168289742
108	0.03167321186
109	0.03167007459
110	0.03166508106
111	0.03163197447
112	0.03162325688
113	0.03161437461
114	0.03154868539
115	0.03154191955
116	0.03153741294
117	0.03149393556
118	0.0314835223
119	0.03147256085
120	0.03146358924
121	0.0314608101
122	0.03142745008
123	0.03141989369
124	0.03141640168
125	0.03140344653
126	0.03139241485
127	0.03132597922
128	0.03132257546
129	0.0313096318
130	0.03130094859
131	0.03129375125
132	0.03128459829
133	0.03128133374
134	0.03127430118
135	0.03127080055
136	0.03126171963
137	0.03125827981
138	0.03118127386
139	0.03116785925
140	0.03116466656
141	0.03112056554
142	0.03108340768
143	0.03107051158
144	0.03104156704
145	0.03102003319
146	0.03101675301
147	0.03095168896
148	0.03093990136
149	0.03089463839
150	0.03081906723
151	0.0307972124
152	0.0307321882
153	0.03070732578
154	0.03068275075
155	0.03064275186
156	0.03063468004
157	0.03060642974
158	0.03059582226
159	0.03052054205
160	0.03050223727
161	0.03049631185
162	0.030448843
163	0.03044465614
164	0.03044138757
165	0.0304302086
166	0.03042691566
167	0.03039824769
168	0.03038316911
169	0.03036948734
170	0.03036340389
171	0.03035681372
172	0.03034347638
173	0.0302970447
174	0.0302820237
175	0.03025141871
176	0.03024044796
177	0.03023327603
178	0.03023011377
179	0.0302042609
180	0.03018879641
181	0.03014537695
182	0.03013842646
183	0.03011620354
184	0.03010606457
185	0.03006753245
186	0.03006448056
187	0.03006152348
188	0.03005012718
189	0.03004391397
190	0.03002381919
191	0.03001210304
192	0.02997479736
193	0.02997196768
194	0.02991781039
195	0.02990466318
196	0.02990184839
197	0.02988257475
198	0.02985918329
199	0.02984177551
200	0.02982230514
201	0.02981128284
202	0.02979916664
203	0.02978731892
204	0.02975402922
205	0.02971890749
206	0.02970765459
207	0.02969706647
208	0.02969439333
209	0.02967939539
210	0.02966199462
211	0.02965400016
212	0.02964602948
213	0.02963666594
214	0.02962378416
215	0.02962119336
216	0.02961286096
217	0.02960672
218	0.02959733981
219	0.02958685193
220	0.02958424172
221	0.02957509185
222	0.02957125333
223	0.02955884701
224	0.02952520614
225	0.0294980446
226	0.02949550695
227	0.02948244712
228	0.02947358477
229	0.02945959727
230	0.02945720228
231	0.02943689018
232	0.02942552778
233	0.02941116498
234	0.02940593746
235	0.02939441303
236	0.02938718814
237	0.02937416873
238	0.02936568208
239	0.02936321983
240	0.02935492116
241	0.02933091854
242	0.02929338433
243	0.02928378161
244	0.02925616434
245	0.02924992778
246	0.02924752335
247	0.02924518382
248	0.02923817642
249	0.02922934421
250	0.02920389339
251	0.02918770451
252	0.02918551212
253	0.02918191469
254	0.02917344528
255	0.0291614384
256	0.02913420913
257	0.0291181689
258	0.02911285491
259	0.0290984511
260	0.02909175228
261	0.02908321102
262	0.029078074
263	0.0290678635
264	0.02905137887
265	0.02904879548
266	0.02904144771
267	0.02900707347
268	0.02899580272
269	0.02899036263
270	0.02898814082
271	0.0289656935
272	0.02895223978
273	0.02894334051
274	0.02892699679
275	0.02891746697
276	0.02891202299
277	0.02890077482
278	0.02887961193
279	0.02887738361
280	0.02886946471
281	0.02886402437
282	0.02885286584
283	0.02884873991
284	0.02884656364
285	0.02884436716
286	0.02883007104
287	0.02881938423
288	0.028814152
289	0.02880718483
290	0.02879694999
291	0.02879079521
292	0.02878743367
293	0.02878472011
294	0.02877145155
295	0.02875903299
296	0.0287433587
297	0.02873200156
298	0.02872068836
299	0.02869460635
300	0.02868601995
301	0.02867606962
302	0.02867011485
303	0.02866153907
304	0.02865271408
305	0.02865059123
306	0.02862166376
307	0.02861398348
308	0.02859937114
309	0.02856720455
310	0.0285639864
311	0.02856204716
312	0.0285574935
313	0.02855231248
314	0.02854436614
315	0.02852461756
316	0.02851214354
317	0.02849294005
318	0.02847487624
319	0.02846680649
320	0.02843512621
321	0.0284259153
322	0.02841582885
323	0.0283924454
324	0.02837185481
325	0.02836698962
326	0.02835992231
327	0.02835786216
328	0.02834448189
329	0.02833504592
330	0.0283308409
331	0.0283231832
332	0.02831648616
333	0.0283111427
334	0.02830810517
335	0.02830620152
336	0.02830431304
337	0.0282993969
338	0.02829363821
339	0.02828723621
340	0.02828297997
341	0.02827862357
342	0.02827082009
343	0.02826673879
344	0.02826377819
345	0.02825955216
346	0.0282483174
347	0.02823855098
348	0.02823559099
349	0.02823216094
