iter	Passed	Remaining
396	378858	575445
397	379790	574457
398	380744	573502
399	381578	572368
400	382434	571268
401	383406	570341
402	384327	569338
403	385229	568309
404	386304	567533
405	387256	566577
406	388331	565800
407	389252	564798
408	390236	563887
409	391325	563126
410	392408	562356
411	393399	561453
412	394331	560466
413	395251	559461
414	396081	558332
415	396969	557283
416	397783	556133
417	398643	555049
418	399504	553967
419	400444	552995
420	401390	552031
421	402338	551070
422	403306	550136
423	404243	549161
424	405065	548029
425	405883	546895
426	406848	545957
427	407862	545087
428	408869	544206
429	409771	543185
430	410766	542288
431	411742	541364
432	412820	540575
433	413771	539619
434	414814	538782
435	415641	537664
436	416610	536731
437	417552	535763
438	418432	534716
439	419399	533781
440	420206	532642
441	421171	531705
442	422130	530759
443	423081	529804
444	423964	528764
445	424746	527599
446	425589	526512
447	426492	525499
448	427426	524525
449	428424	523629
450	429297	522581
451	430278	521665
452	431230	520713
453	432107	519671
454	432966	518608
455	433826	517547
456	434724	516533
457	435633	515531
458	436531	514517
459	437445	513523
460	438345	512511
461	439272	511533
462	440180	510533
463	441073	509515
464	442158	508720
465	442962	507601
466	443910	506647
467	444779	505603
468	445612	504520
469	446529	503533
470	447426	502523
471	448259	501442
472	449148	500424
473	450074	499450
474	450988	498460
475	452015	497596
476	452999	496684
477	453925	495709
478	454867	494751
479	455796	493779
480	456728	492811
481	457536	491708
482	458287	490548
483	459193	489553
484	460076	488534
485	460906	487460
486	461879	486538
487	462882	485647
488	463832	484700
489	464662	483628
490	465573	482641
491	466480	481650
492	467391	480664
493	468320	479696
494	469253	478732
495	470190	477774
496	471116	476803
497	472122	475915
498	473106	475003
499	474104	474104
500	474984	473088
501	476017	472225
502	476812	471125
503	477744	470161
504	478665	469187
505	479512	468140
506	480526	467257
507	481371	466209
508	482413	465353
509	483312	464358
510	484211	463364
511	485154	462413
512	486140	461501
513	487219	460678
514	488214	459774
515	489067	458737
516	489939	457719
517	490947	456827
518	491982	455960
519	492887	454973
520	493811	454002
521	494769	453064
522	495610	452019
523	496531	451048
524	497600	450210
525	498584	449294
526	499462	448283
527	500388	447317
528	501258	446300
529	502095	445254
530	503037	444302
531	504035	443399
532	505094	442549
533	505994	441560
534	506841	440525
535	507761	439554
536	508756	438648
537	509656	437660
538	510547	436665
539	511402	435639
540	512346	434689
541	513350	433790
542	514428	432953
543	515456	432073
544	516488	431196
545	517301	430136
546	518197	429146
547	519060	428130
548	519988	427167
549	521047	426311
550	522009	425376
551	523100	424545
552	523965	423530
553	524977	422635
554	525903	421670
555	526776	420662
556	527683	419683
557	528664	418762
558	529619	417821
559	530507	416827
560	531551	415955
561	532426	414951
562	533348	413984
563	534394	413113
564	535279	412118
565	536173	411129
566	537143	410199
567	538030	409206
568	538883	408187
569	539841	407248
570	540851	406348
571	541737	405355
572	542683	404408
573	543548	403399
574	544452	402421
575	545293	401396
576	546083	400335
577	547070	399418
578	548035	398484
579	548953	397517
580	549825	396518
581	550727	395539
582	551691	394606
583	552625	393650
584	553597	392722
585	554396	391672
586	555147	390589
587	556095	389645
588	557000	388671
589	557815	387634
590	558687	386637
591	559610	385677
592	560483	384682
593	561454	383755
594	562447	382842
595	563359	381874
596	564284	380915
597	565188	379942
598	566096	378973
599	567121	378081
600	568093	377153
601	569040	376209
602	569866	375185
603	570856	374270
604	571639	373219
605	572597	372282
606	573575	371359
607	574513	370409
608	575546	369521
609	576514	368591
610	577371	367590
611	578297	366632
612	579158	365634
613	580106	364692
614	581053	363748
615	581955	362777
616	582883	361822
617	583733	360819
618	584656	359861
619	585569	358897
620	586437	357906
621	587337	356934
622	588221	355954
623	589163	355008
624	590079	354047
625	591062	353126
626	591963	352156
627	592925	351223
628	593779	350225
629	594768	349308
630	595600	348298
631	596529	347346
632	597546	346444
633	598397	345447
634	599268	344461
635	600173	343495
636	601085	342534
637	602078	341618
638	602955	340637
639	603845	339663
640	604816	338734
641	605706	337761
642	606647	336816
643	607636	335898
644	608526	334925
645	609497	333997
646	610412	333038
647	611345	332089
648	612283	331142
649	613222	330196
650	614133	329235
651	615197	328357
652	616257	327475
653	617163	326511
654	618124	325577
655	619039	324618
656	619830	323594
657	620709	322617
658	621632	321664
659	622428	320644
660	623343	319687
661	624290	318746
662	625381	317878
663	626338	316942
664	627322	316019
665	628238	315062
666	629055	314056
667	629937	313082
668	630798	312099
669	631613	311093
670	632439	310093
671	633314	309118
672	634335	308213
673	635331	307296
674	636302	306368
675	637161	305385
676	638090	304436
677	639000	303478
678	640007	302565
679	640951	301624
680	641837	300654
681	642694	299672
682	643671	298746
683	644678	297833
684	645692	296924
685	646692	296008
686	647698	295094
687	648668	294163
688	649540	293189
689	650434	292224
690	651473	291324
691	652468	290404
692	653339	289430
693	654238	288468
694	655115	287496
695	656076	286562
696	656912	285573
697	657869	284636
698	658709	283650
699	659600	282686
700	660534	281740
701	661475	280797
702	662402	279848
703	663326	278898
704	664277	277960
705	665178	277000
706	666194	276089
707	667124	275141
708	668008	274175
709	668959	273236
710	669915	272300
711	670958	271398
712	671896	270454
713	672786	269491
714	673770	268565
715	674707	267621
716	675530	266631
717	676502	265701
718	677446	264759
719	678286	263777
720	679246	262843
721	680180	261897
722	681162	260971
723	682009	259992
724	682989	259064
725	683918	258117
726	684731	257127
727	685574	256148
728	686464	255187
729	687608	254321
730	688572	253387
731	689507	252442
732	690355	251466
733	691292	250522
734	692137	249546
735	693000	248576
736	693962	247642
737	694871	246688
738	695813	245747
739	696670	244776
740	697636	243843
741	698654	242928
742	699578	241980
743	700523	241040
744	701358	240062
745	702291	239117
746	703158	238151
747	704084	237205
748	705022	236262
749	705811	235270
750	706765	234333
751	707643	233371
752	708701	232469
753	709686	231542
754	710628	230601
755	711488	229633
756	712357	228669
757	713227	227705
758	714109	226746
759	715069	225811
760	715989	224863
761	716948	223928
762	717812	222964
763	718721	222013
764	719858	221132
765	721048	220268
766	722086	219356
767	723159	218454
768	724150	217527
769	725091	216585
770	726100	215663
771	727223	214775
772	728175	213836
773	729299	212947
774	730253	212009
775	731292	211094
776	732155	210129
777	733144	209200
778	734119	208267
779	735078	207329
780	736044	206393
781	736942	205439
782	737843	204485
783	738870	203566
784	739765	202610
785	740784	201689
786	741624	200719
787	742537	199769
788	743540	198842
789	744530	197913
790	745405	196952
791	746257	195986
792	747183	195040
793	748157	194106
794	749120	193169
795	750101	192236
796	751076	191302
797	751930	190338
798	752909	189405
799	753838	188459
800	754844	187533
801	756015	186647
802	756996	185713
803	758123	184816
804	759172	183898
805	760243	182986
806	761059	182012
807	762035	181077
808	762959	180130
809	763865	179178
810	764846	178244
